#,REQUEST ID,DATE,SUPPLIER,SUPPLIER EMAIL,SUPPLIER CONTACT NO,REQUEST TYPE,RESPONSE MEMBER,DESK NO.,STATUS
1,2018081600126,16/08/2018 02:07:00 PM,27493 - SHIFA ENTERPRISES,optiontrousers@gmail.com,9820504583 [  ], PURCHASE ORDER,,-,NOT ASSIGNED
2,2018081600096,16/08/2018 01:49:29 PM,24176 - MEENA PRINTS PVT.LTD,salesmeenaprints@gmail.com,9324621844 [ 9820048441 ], PURCHASE ORDER,,705,NOT ASSIGNED
3,2018081600095,16/08/2018 01:48:53 PM,36326 - NEEV GARMENTS,neevgarments9@gmail.com,9130062700 [  ], PURCHASE ORDER,,-,NOT ASSIGNED
4,2018081600094,16/08/2018 01:48:13 PM,30677 - A.V.M.PRINTS,avmprints@gmail.com,9374620821 [ -9376381000 ], PURCHASE ORDER,,-,NOT ASSIGNED
5,2018081600092,16/08/2018 01:44:51 PM,32531 - BEST HOME COTTONS,besthomecottons@gmail.com,9443712951 [ 9840680604 ], PURCHASE ORDER,,-,NOT ASSIGNED
6,2018081600091,16/08/2018 01:40:44 PM,34365 - I.D.EXPORTS,mechanicjeansco@gmail.com,9019236002 [  ], PURCHASE ORDER,,-,NOT ASSIGNED
7,2018081600090,16/08/2018 01:34:24 PM,36913 - ARISSA ENTERPRISES,piyushpoddar76@gmail.com,9430346738 [  ], PURCHASE ORDER,,-,NOT ASSIGNED
8,2018081600089,16/08/2018 01:27:29 PM,36797 - BG'S CLOTHING CO.PVT.LTD,-,9999005909 [  ], PURCHASE ORDER,,-,NOT ASSIGNED
9,2018081600088,16/08/2018 01:26:50 PM,22225 - CHARMI CREATION,charmicreation@gmail.com,9322659265 [ 9821368540 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
10,2018081600087,16/08/2018 01:21:52 PM,37082 - RAJESH APPARELS,rajeshapparels18@gmail.com,7043033324 [  ], PURCHASE ORDER,,-,NOT ASSIGNED
11,2018081600086,16/08/2018 01:17:55 PM,36035 - S.R.LEATHERS,srleatherclubs@gmail.com,7010321390 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
12,2018081600079,16/08/2018 01:13:31 PM,36035 - S.R.LEATHERS,srleatherclubs@gmail.com,7010321390 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
13,2018081600076,16/08/2018 01:01:26 PM,18507 - KASHMIRI LALS,kashmirilals@yahoo.com,9911303904 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,705,NOT ASSIGNED
14,2018081600075,16/08/2018 12:54:34 PM,36950 - FASHION CRAFTS,craftsfashion@gmail.com,9999939039 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
15,2018081600072,16/08/2018 12:47:40 PM,13677 - S.C.GOVINDHARAJ,scgovindharaj@gmail.com,9486264554 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
16,2018081600071,16/08/2018 12:43:53 PM,32655 - FLUKEE CLOTHING CO,rahuld2116@gmail.com,9920588585 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
17,2018081600067,16/08/2018 12:31:42 PM,36089 - MANSI CREATION,mansicreation@hotmail.com,9537055686 [  ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,,CLOSED
18,2018081600066,16/08/2018 12:31:41 PM,36089 - MANSI CREATION,mansicreation@hotmail.com,9537055686 [  ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,,CLOSED
19,2018081600065,16/08/2018 12:31:40 PM,36089 - MANSI CREATION,mansicreation@hotmail.com,9537055686 [  ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,,CLOSED
20,2018081600064,16/08/2018 12:31:19 PM,36879 - NEW AASHI RAINWEAR,contact@aashirainwear.com,9879589616 [  ], PURCHASE ORDER,,-,NOT ASSIGNED
21,2018081600061,16/08/2018 12:16:15 PM,8536 - JAYESHKUMAR RASIKLAL & CO,info@carolonfab.com,9819829230 [ 9820930744 ], PURCHASE ORDER,3756 - SRI SANJAY DAS,703,CLOSED
